Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude,new_color_1,new_color_2,density
1,1.0,0,0,0,0,0,0,2,0,43.01140045,-88.24307586,9,2,138.9
0,1.0,3,2,0,2,3,2,2,0,44.2482993,-88.4040378,9,2,168.9
1,1.0,0,0,0,0,0,0,0,0,36.6690711,-76.9471562,9,1,526.4
1,1.0,0,0,0,0,0,0,0,0,53.6229813,-8.184095804,3,1,515.7
1,1.0,3,2,1,3,2,2,1,2,33.4663468,-82.01761138,7,0,65.8
1,1.0,3,2,1,3,2,2,2,0,42.71663125,-89.4309859,5,0,65.8
1,1.0,3,2,0,2,1,0,0,0,44.9656121,-89.66754142,6,0,54.8
1,1.0,0,0,0,0,0,0,0,0,44.12663555,-87.61761488,2,2,1.1
1,1.0,0,0,0,2,0,0,0,0,43.77266535,-87.7104002,7,2,548.6
1,1.0,0,0,0,0,0,0,0,0,43.31878325,-88.36248434,9,2,25.2
1,1.0,0,0,0,0,0,0,0,0,43.5659975,-89.46453201,6,2,48.2
1,1.0,3,0,0,2,2,2,2,0,6.4492553,3.397659761,7,2,826.6
1,1.0,2,2,2,2,1,2,2,0,44.01300775,-88.60022767,5,0,1198.9
1,1.0,3,2,2,2,2,2,1,2,44.50273985,-88.01146462,8,0,1198.9
1,1.0,3,2,3,3,1,3,1,2,42.67276425,-88.28140216,9,0,863.9
1,1.0,3,3,3,3,1,2,1,2,43.10084575,-88.48723476,8,0,863.9
1,1.0,2,0,1,2,1,2,2,0,44.5003345,-88.01314649,2,0,1198.9
1,1.0,4,2,1,3,3,2,1,2,43.44816815,-88.82662655,9,0,445.7
1,1.0,3,1,1,3,2,2,1,2,42.98575415,-87.93621578,7,0,1198.9
1,1.0,3,2,2,2,1,2,2,2,43.7930709,-91.24662524,8,0,326.5
1,1.0,4,1,1,3,1,2,1,3,39.27154095,-76.67345788,8,0,1624.6
1,1.0,3,2,3,3,1,2,1,0,43.0656451,-89.4016935,5,0,1198.9
1,1.0,3,2,1,2,1,2,3,3,45.8935243,-89.70214908,5,0,504.7
1,1.0,1,2,1,2,1,2,1,2,43.29376125,-89.75713618,8,0,114.6
1,1.0,4,2,3,3,2,2,2,3,43.0592136,-89.4025028,8,0,1010.7
1,1.0,1,2,1,1,1,2,1,3,42.54820975,-89.0084169,9,0,863.9
1,1.0,3,2,3,1,1,2,2,2,42.6614903,-88.49603675,9,0,1379.8
1,1.0,3,2,2,2,2,1,2,2,34.27396,-119.258206,1,0,420.8
1,1.0,2,2,2,1,1,2,3,1,14.204277,121.1612867,5,0,477.4
1,1.0,0,0,0,2,0,2,0,0,43.78376455,-90.07426713,0,0,212.6
0,1.0,3,0,2,2,1,2,0,0,45.06881985,-87.64488617,8,0,361.3
0,1.0,0,0,0,0,0,0,0,0,18.3408976,-64.91476132,0,0,103.6
1,1.0,2,2,2,2,1,2,2,0,43.2000463,-88.6965379,5,0,1198.9
1,1.0,3,2,1,3,3,1,3,3,43.00089305,-88.0244055,5,0,504.7
1,1.0,3,2,1,3,2,2,1,3,43.04139555,-88.02455617,1,0,1451.1
1,1.0,3,2,3,2,1,2,2,2,42.5698312,-87.93558198,9,0,1198.9
1,1.0,4,2,3,3,1,2,2,2,44.4765125,-87.9400318,9,0,862.4
1,1.0,3,2,2,2,1,1,2,0,43.0979876,-87.91485589,5,0,1451.1
1,1.0,2,2,3,1,1,2,1,1,47.60454285,-122.3307181,5,0,270.5
1,1.0,5,1,3,3,3,2,2,2,44.81503655,-91.45296185,9,0,1198.9
0,1.0,5,1,3,3,3,0,0,0,44.02755895,-88.59556428,9,0,1379.8
0,1.0,0,0,0,0,3,0,0,0,42.86302565,-87.9537415,5,0,1198.9
1,1.0,2,2,1,2,1,1,2,2,42.8602954,-87.9541229,5,0,196.9
1,1.0,2,2,1,2,1,2,1,2,44.02755895,-88.59556428,9,0,863.9
0,1.0,0,0,0,0,3,0,0,0,44.02755895,-88.59556428,5,0,1624.6
1,1.0,4,2,2,3,2,2,1,3,44.57810325,-91.21269665,9,0,1198.9
1,1.0,1,2,1,2,1,2,1,2,44.6204697,-91.9609622,5,0,1379.8
1,1.0,3,2,2,1,3,2,2,3,45.2978074,-92.36159937,8,0,1503.9
0,1.0,0,0,3,0,3,0,0,0,44.95322565,-90.91855716,9,0,1198.9
1,1.0,3,0,0,2,2,2,3,0,42.6837137,-90.10984613,5,0,158.9
1,1.0,0,0,0,2,0,0,0,0,44.0248888,-88.15328845,1,2,49.3
1,1.0,0,0,0,2,0,0,0,0,45.30168505,-92.69974128,1,2,203.0
1,1.0,0,0,0,0,0,0,0,0,43.83433125,-88.81763493,0,2,59.0
1,1.0,0,0,0,0,0,0,0,0,42.84391845,-90.70863765,1,2,112.8
1,1.0,0,0,0,2,0,0,0,0,45.930772,-90.44063719,9,2,370.9
1,1.0,0,0,0,0,1,2,2,0,44.3812529,-88.73394715,5,2,366.5
1,1.0,3,1,0,2,1,0,2,2,43.63208185,-88.74581904,9,2,153.4
1,1.0,0,0,0,0,0,0,0,2,45.45484315,-91.11030803,9,2,67.3
1,1.0,3,2,0,2,2,2,2,2,44.304379,-90.85505108,8,0,569.8
1,1.0,3,3,3,3,2,2,2,2,44.95865605,-92.71713286,9,0,672.8
1,1.0,4,2,3,3,2,3,2,2,45.4082702,-92.64181839,7,0,694.5
1,1.0,3,2,0,1,2,2,3,0,43.321845,-89.035144,9,0,215.1
1,1.0,3,3,3,2,3,2,3,1,40.7354693,-91.9689448,9,0,484.0
1,1.0,3,3,0,2,2,2,3,2,44.88309945,-91.90145193,2,0,314.2
1,1.0,1,2,1,1,1,1,1,3,43.3393026,-90.38220369,3,0,649.4
1,1.0,3,2,3,3,2,2,2,1,45.7422029,-91.92677328,8,0,456.5
1,1.0,3,2,0,2,2,2,3,0,42.92078015,-89.21101807,5,0,583.7
1,1.0,2,3,2,1,1,2,2,2,44.9413711,-92.37849945,7,0,392.0
1,1.0,3,3,3,3,2,2,3,2,43.5514959,-90.88812031,9,0,415.2
1,1.0,3,3,3,3,2,2,3,2,44.8648624,-92.60345785,9,0,541.1
1,1.0,3,3,3,1,3,2,2,3,45.14112085,-89.13974699,9,0,469.2
1,1.0,2,3,2,1,2,2,2,1,43.54995465,-89.9931125,9,0,360.8
1,1.0,3,2,3,2,1,2,2,2,42.95120925,-90.12916566,5,0,394.9
1,1.0,3,2,0,2,0,2,3,0,45.8560842,-63.65889579,9,0,371.8
1,1.0,4,2,2,3,3,2,2,2,42.7200207,-90.45817362,9,0,247.4
1,1.0,2,3,1,1,1,2,2,1,44.89634095,-87.86589054,5,0,537.3
1,1.0,2,2,0,1,1,2,3,2,37.66857995,-120.9733792,8,0,247.2
1,1.0,3,2,0,1,3,2,3,2,48.779182,-104.5631908,9,0,425.1
1,1.0,2,3,2,1,2,2,2,2,43.0345921,-108.4188582,5,0,392.0
1,1.0,3,2,3,1,1,2,3,2,41.5847989,-109.2356165,5,0,595.9
1,1.0,3,3,2,3,2,2,3,2,41.1404366,-104.8161912,5,0,419.6
1,1.0,3,3,3,1,2,2,2,3,38.6454887,-90.44607954,9,0,649.4
1,1.0,3,2,3,1,3,2,2,1,41.312525,-105.5558133,9,0,377.4
1,1.0,2,3,2,1,2,2,3,1,41.24322345,-110.990665,9,0,371.7
1,1.0,4,2,3,1,3,2,3,2,37.82020895,-122.2649288,5,0,649.4
1,1.0,2,2,0,2,1,2,3,2,41.6027016,-109.2465973,7,0,608.6
1,1.0,0,0,0,0,3,1,2,0,42.75884375,-105.3806694,5,0,672.8
1,1.0,3,2,2,2,2,2,3,0,43.8477964,-104.1885589,5,0,322.4
1,1.0,0,0,0,0,0,0,0,0,42.049808,-104.9608855,7,2,271.7
1,1.0,0,0,0,2,0,2,0,0,44.012432,-107.9493903,5,2,481.4
1,1.0,0,2,0,2,0,0,0,0,35.37542055,-97.57047513,9,2,172.6
1,1.0,0,0,0,0,0,0,0,0,39.01137895,-94.73005512,5,2,117.3
1,1.0,4,2,0,2,3,2,2,2,44.40895365,-104.3740385,7,2,355.6
1,1.0,0,2,0,2,0,0,0,0,42.7167154,-110.9299282,2,2,125.4
1,1.0,3,2,0,2,3,2,3,2,41.78723735,-107.2616814,9,2,300.0
1,1.0,0,2,0,2,0,0,0,0,30.2958856,-97.826026,2,2,283.3
1,1.0,0,2,0,2,0,0,0,0,29.5341211,-95.12600808,2,2,194.4
1,1.0,0,0,0,0,0,0,0,0,33.17651325,-97.08716628,9,2,373.9
1,1.0,0,0,0,0,0,0,0,0,32.56835315,-97.09447872,8,2,230.7
1,1.0,3,2,0,2,2,2,3,2,29.924378,-95.6298689,9,2,517.2
1,1.0,2,2,0,2,2,0,0,0,33.0147813,-96.7899585,2,2,303.9
1,1.0,0,2,0,2,0,0,0,0,30.56712315,-97.65080705,9,2,526.9
1,1.0,4,2,0,2,0,2,2,2,30.5326279,-97.81344449,9,2,296.9
1,1.0,3,2,0,2,3,2,2,1,32.88484155,-96.46636412,9,2,336.7
1,1.0,3,2,3,3,1,2,1,1,29.5307325,-98.59044292,9,0,1070.3
1,1.0,4,1,2,3,3,2,2,2,29.61599705,-98.47467693,9,0,2724.1
1,1.0,3,2,2,3,1,2,2,0,30.00838415,-97.8530696,8,0,7030.7
0,1.0,3,2,1,1,3,2,1,2,27.68576785,-97.37476276,7,0,2049.4
0,1.0,3,2,2,3,1,2,2,0,33.22045125,-96.91342228,5,0,3184.7
1,1.0,3,1,3,2,1,2,1,0,33.04549345,-97.06710476,5,0,2960.7
1,1.0,3,1,1,2,2,2,1,2,33.17667075,-96.72280513,8,0,1639.7
1,1.0,3,3,3,3,1,2,1,2,32.7487164,-97.1164531,1,0,2585.8
1,1.0,3,2,2,2,2,2,2,0,29.65199895,-95.47782123,5,0,760.0
1,1.0,2,1,3,1,1,1,1,2,32.9847567,-96.82952708,9,0,563.5
1,1.0,3,2,3,1,3,2,2,3,29.78729135,-95.69810669,9,0,1152.0
1,1.0,3,1,1,3,1,2,1,2,31.07255555,-97.68263831,9,0,3020.6
1,1.0,3,1,2,3,1,2,1,2,32.67971285,-95.72276543,9,0,7030.7
1,1.0,2,2,2,2,1,2,1,0,32.93060185,-97.30998667,1,0,497.3
