Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude,new_color_1,new_color_2,density
1,1.0,3,1,2,1,2,2,2,2,36.0112582,-84.88573342,7,0,4614.5
1,1.0,2,2,2,1,1,2,1,2,35.32494755,-87.75664323,9,0,4614.5
1,1.0,5,1,3,3,3,2,1,2,35.75674325,-83.95893134,8,0,728.8
1,1.0,4,1,3,1,3,2,1,2,36.02296045,-88.41237386,9,0,4614.5
1,1.0,4,1,3,3,3,2,3,2,36.34608205,-82.24974317,7,0,1433.9
1,1.0,3,3,2,3,3,2,2,1,35.91634575,-86.82021826,7,0,1108.5
1,1.0,1,1,1,1,1,1,1,2,35.88838035,-84.55520516,9,0,4614.5
1,1.0,4,2,2,2,3,2,3,2,36.0241552,-84.24544809,9,0,287.4
0,1.0,4,2,0,3,3,2,3,2,36.582676,-87.27081003,7,0,632.2
1,1.0,3,2,0,2,3,2,3,1,36.14092375,-86.80163418,9,0,501.1
1,1.0,2,3,2,2,1,1,1,3,35.5921095,-87.86374741,9,0,721.0
1,1.0,1,2,1,1,1,2,1,2,36.073423,-87.37537815,3,0,4614.5
1,1.0,3,2,1,2,3,2,2,1,36.02296045,-88.41237386,8,0,632.1
1,1.0,3,2,1,2,2,2,3,2,36.1514113,-82.84609285,9,0,777.1
1,1.0,4,2,2,2,3,2,3,2,35.8607444,-86.42436338,7,0,525.9
1,1.0,3,2,2,1,3,2,2,2,36.45256175,-83.5718569,9,0,488.4
1,1.0,2,2,0,2,2,2,3,1,36.1697577,-85.50841374,9,0,571.9
1,1.0,1,1,1,1,1,2,2,2,35.91270405,-88.75399591,5,0,646.7
1,1.0,4,2,3,3,2,2,2,2,36.30778825,-82.3841935,9,0,763.7
1,1.0,1,2,2,1,1,1,3,2,36.4780073,-86.88704552,9,0,4614.5
1,1.0,2,2,1,1,2,1,1,1,36.2150756,-83.3033877,8,0,2408.7
1,1.0,4,1,3,1,2,2,1,2,35.4403753,-84.60691681,7,0,4614.5
1,1.0,2,2,3,1,1,2,1,0,35.63598705,-88.12226572,9,0,4614.5
1,1.0,2,2,1,1,2,2,1,2,36.04913865,-89.37963522,7,0,4614.5
1,1.0,2,2,1,1,1,2,3,2,35.6070949,-87.0664395,5,0,452.1
1,1.0,4,1,3,2,2,3,1,3,35.85576475,-83.53489608,9,0,700.6
1,1.0,5,1,3,3,3,2,2,3,36.1296963,-86.84464523,9,0,632.1
1,1.0,3,2,1,1,2,2,2,1,36.432417,-84.94273531,7,0,700.6
0,1.0,3,2,3,1,3,2,2,2,35.6000085,-84.46270381,9,0,630.0
1,1.0,3,2,0,2,2,2,2,0,35.1500698,-86.55603928,9,0,4614.5
1,1.0,5,1,3,3,2,3,1,3,35.22895735,-88.23024039,9,0,901.1
1,1.0,2,2,2,2,1,2,1,0,35.82505,-84.27005509,9,0,4614.5
1,1.0,4,2,3,3,3,2,2,2,39.22141975,-83.61104455,9,0,908.7
1,1.0,3,2,0,1,2,2,3,1,41.54041565,-84.13271302,8,0,489.3
1,1.0,4,2,2,3,3,2,2,1,39.11587915,-83.00411566,9,0,828.4
1,1.0,4,1,3,1,3,2,2,2,39.14084475,-84.50228847,9,0,667.9
1,1.0,3,2,1,3,3,2,2,3,41.0792309,-81.5257958,7,0,2144.6
0,1.0,4,2,3,2,3,2,3,3,39.9520639,-82.97900743,8,0,881.3
1,1.0,3,1,1,2,2,2,3,2,39.7745516,-84.16767339,9,0,1471.7
1,1.0,3,3,3,2,1,2,2,2,39.1380317,-84.50112438,7,0,881.3
1,1.0,4,2,3,2,3,2,3,2,36.14646255,-95.96908033,9,0,379.0
1,1.0,3,3,2,1,2,2,3,2,36.4373903,-99.39969912,9,0,881.3
1,1.0,3,2,2,3,1,2,2,2,36.872805,-94.88089987,8,0,2233.0
1,1.0,3,2,1,3,3,1,2,3,36.7249642,-97.06869034,9,0,1241.0
1,1.0,3,1,2,3,1,2,2,2,35.52974655,-97.98065056,9,0,4614.5
1,1.0,4,1,1,3,2,3,2,2,34.00711175,-96.39442221,7,0,1085.8
1,1.0,3,2,1,3,2,2,2,2,36.3078468,-95.30449855,2,0,715.0
1,1.0,2,2,2,1,2,2,1,2,36.3898132,-97.88778068,9,0,3322.7
1,1.0,3,1,1,1,2,3,1,2,35.41373415,-99.42579112,9,0,4614.5
1,1.0,4,2,3,3,2,3,3,2,34.77818575,-96.63257533,9,0,923.7
1,1.0,4,1,3,3,1,2,2,2,35.7523408,-95.40534481,7,0,948.4
1,1.0,5,2,3,3,2,2,2,3,39.5324743,-119.8198131,7,0,940.7
0,1.0,3,2,2,2,2,2,2,2,35.5145538,-98.99814007,5,0,388.5
1,1.0,3,0,0,2,0,2,1,0,36.7979431,-97.29998677,2,0,4614.5
1,1.0,2,2,1,1,1,2,3,2,35.5267335,-97.58463473,9,0,1142.9
0,1.0,0,0,0,2,0,0,0,0,35.47775105,-97.51995981,9,2,516.8
1,1.0,0,2,0,2,0,0,0,0,36.3227259,-95.60453408,9,2,630.9
1,1.0,0,0,0,0,0,0,0,0,35.0436937,-94.61209795,9,2,256.8
1,1.0,0,2,0,2,0,0,0,0,35.8336202,-96.40195255,2,2,750.4
1,1.0,4,2,0,2,0,0,2,2,33.882434,-94.81097102,9,2,396.0
1,1.0,0,2,0,2,0,0,0,0,33.7517323,-84.38200521,1,2,479.9
1,1.0,0,0,0,2,0,0,0,0,34.6103991,-98.43377709,1,2,379.0
1,1.0,4,2,0,2,0,2,3,2,35.6112137,-95.95214469,9,2,777.0
1,1.0,4,2,0,2,3,0,2,2,36.6535444,-95.15646043,9,2,531.6
1,1.0,4,2,0,2,3,2,3,2,34.9191021,-95.32017102,9,2,449.8
1,1.0,4,2,0,2,3,0,0,0,36.14663955,-95.99958851,9,2,266.3
1,1.0,3,2,0,2,0,2,3,0,36.78693965,-98.67058256,1,2,450.9
1,1.0,3,2,0,2,0,0,0,2,35.91414425,-94.95052729,9,2,517.5
1,1.0,4,2,0,2,3,0,0,2,35.4671129,-97.39378955,1,2,526.9
0,1.0,4,2,0,2,3,2,2,1,34.59276275,-98.46308007,8,2,566.4
1,1.0,3,2,0,2,0,2,2,0,35.97796385,-96.75760282,1,2,492.2
1,1.0,4,2,0,3,3,2,3,0,34.0123956,-95.49653294,9,2,826.4
1,1.0,4,2,0,2,3,1,2,2,35.4228341,-97.5323892,1,2,382.5
1,1.0,0,2,0,2,0,0,0,0,36.58109305,-94.75869212,7,2,712.9
1,1.0,0,0,0,0,0,0,2,0,35.36279,-96.93762781,1,2,601.9
1,1.0,0,0,0,0,3,0,3,0,35.0377095,-99.09859752,9,2,326.9
1,1.0,2,2,0,2,0,2,2,0,35.0287708,-97.36460561,9,2,253.0
1,1.0,0,2,0,2,0,0,0,0,35.96162655,-95.39210599,1,2,609.8
1,1.0,3,2,0,2,2,2,2,0,36.3162771,-95.62925973,2,2,363.1
1,1.0,3,2,0,2,2,2,2,2,43.0444216,-91.13740101,1,2,464.3
1,1.0,4,2,0,2,3,2,3,2,34.731557,-96.64685732,9,2,423.7
1,1.0,4,2,0,2,3,2,3,0,35.43826495,-96.0157305,9,2,582.0
1,1.0,3,2,0,2,0,2,3,0,35.56409005,-97.5665579,5,2,447.2
1,1.0,3,2,0,2,3,0,0,0,36.03561235,-95.86358926,2,2,399.2
1,1.0,3,2,0,2,0,0,2,0,35.61455335,-97.58324089,9,2,656.1
1,1.0,0,2,0,2,0,0,0,0,35.48469635,-97.76373179,1,2,142.1
1,1.0,3,2,0,1,2,0,0,0,34.83909305,-97.62623457,2,2,387.0
1,1.0,4,2,2,3,3,2,3,2,35.4203894,-97.5341561,2,0,657.6
1,1.0,3,1,3,1,2,2,1,1,35.56854405,-97.51167383,9,0,535.3
1,1.0,3,1,2,1,1,2,2,2,37.82020895,-122.2649288,7,0,1314.7
1,1.0,4,2,1,3,3,2,3,1,36.2991832,-95.8359866,2,0,478.3
1,1.0,3,2,2,2,2,2,2,2,35.24500135,-96.69852964,9,0,626.7
1,1.0,4,1,2,3,2,2,3,2,35.6442348,-97.41880594,9,0,676.9
1,1.0,4,1,2,3,2,2,3,2,35.6442348,-97.41880594,9,0,53.2
1,1.0,4,3,3,3,1,2,2,3,34.392542,-96.15129653,9,0,1094.6
1,1.0,3,2,3,2,2,2,2,2,35.4900584,-96.68421085,7,0,605.1
1,1.0,4,2,2,3,3,3,2,3,35.60931885,-99.67144035,2,0,752.7
1,1.0,4,2,3,3,3,2,2,1,33.94328095,-97.13099566,9,0,650.7
1,1.0,2,2,1,2,1,1,1,2,36.7288342,-102.5181867,2,0,941.8
1,1.0,4,1,2,1,3,2,1,2,31.70496055,-91.06795211,9,0,436.0
1,1.0,3,3,2,2,3,2,3,1,35.0713933,-98.2282704,8,0,870.9
1,1.0,2,2,1,1,2,2,2,1,35.7490875,-96.68294812,2,0,937.8
1,1.0,3,2,3,1,3,2,3,2,36.56317095,-96.70703128,5,0,650.7
1,1.0,2,2,2,2,1,2,1,2,34.5393439,-96.2238226,5,0,923.0
1,1.0,4,2,2,3,3,2,3,2,36.309469,-96.4819792,9,0,573.3
1,1.0,4,2,3,3,2,2,2,3,35.08962365,-96.37908562,9,0,1312.0
1,1.0,2,2,1,1,1,2,2,3,36.8106968,-100.5162704,9,0,941.8
1,1.0,4,3,3,3,3,2,2,2,36.84460455,-99.62877605,9,0,948.2
1,1.0,4,2,2,3,3,2,3,2,35.302939,-98.98831031,2,0,790.7
1,1.0,3,2,0,2,3,2,3,2,34.08064765,-96.77780716,8,0,699.0
1,1.0,4,2,0,3,3,2,3,2,36.1165233,-98.31519051,5,0,673.2
1,1.0,4,3,3,3,3,2,2,2,35.99831785,-96.60642974,9,0,941.8
1,1.0,3,2,2,3,2,2,3,2,35.4222626,-96.2771337,7,0,528.8
1,1.0,3,3,3,1,3,3,3,3,35.1075795,-98.60521115,9,0,953.2
1,1.0,3,2,2,3,2,2,2,2,35.2612842,-95.12887373,7,0,941.8
1,1.0,3,2,2,1,2,2,3,1,36.26783785,-99.88218005,2,0,375.5
1,1.0,4,2,3,2,1,2,2,3,35.0436937,-94.61209795,9,0,510.6
1,1.0,3,2,3,3,1,2,2,2,34.6922799,-99.91429286,9,0,918.2
1,1.0,4,2,2,3,3,2,2,0,45.5873282,-121.1638922,9,0,705.6
1,1.0,4,2,3,3,3,2,3,2,42.4211151,-123.3428204,2,0,566.1
1,1.0,3,2,2,3,2,2,3,3,45.5109344,-122.7740641,9,0,953.2
1,1.0,4,2,0,2,3,2,3,0,42.20575985,-122.7249207,9,0,666.6
1,1.0,3,2,0,2,0,2,3,2,45.54389265,-122.6700328,5,0,375.4
1,1.0,4,2,3,3,3,2,2,2,44.6025565,-123.2526717,7,0,930.9
1,1.0,4,2,3,3,2,2,3,2,45.5300829,-122.6955633,2,0,689.4
1,1.0,4,1,2,2,3,2,3,2,42.31801955,-122.8304465,9,0,510.6
1,1.0,5,2,2,3,3,2,3,2,44.05306775,-123.0032669,7,0,480.4
1,1.0,4,1,3,2,3,2,2,2,45.5193878,-122.9781992,9,0,1216.5
1,1.0,3,2,2,2,2,2,2,2,44.63212335,-123.1170566,7,0,726.5
1,1.0,4,2,3,3,2,3,2,3,45.5179129,-122.406426,9,0,941.8
1,1.0,3,2,2,2,2,2,3,2,39.2932695,-76.61280494,5,0,475.8
1,1.0,4,2,0,2,3,2,3,2,45.0043623,-122.7901012,9,0,642.5
1,1.0,4,0,2,0,3,2,3,0,46.8620419,-114.0019652,5,0,866.9
1,1.0,4,2,2,2,2,2,3,2,45.3086343,-122.936151,5,0,923.0
1,1.0,4,2,3,2,3,2,2,0,45.356119,-122.5865769,5,0,941.8
1,1.0,5,2,3,3,3,2,2,2,44.288433,-121.1701933,7,0,782.3
1,1.0,5,1,3,3,3,2,1,3,44.0675303,-121.2693418,5,0,435.3
1,1.0,4,2,1,3,3,2,2,3,44.93270945,-123.0339917,5,0,782.3
0,1.0,3,2,2,2,2,2,2,2,44.805122,-122.7851035,9,0,1216.5
1,1.0,0,0,0,0,3,0,0,0,45.5282065,-122.613422,9,0,923.0
0,1.0,0,0,0,0,3,0,0,0,45.19890235,-123.1651204,5,0,923.0
1,1.0,3,2,2,2,3,2,2,2,42.3393549,-122.863583,9,0,941.8
0,1.0,0,0,0,0,3,2,0,0,45.44963775,-122.6275983,4,0,937.8
1,1.0,3,2,3,3,2,2,3,2,45.37834965,-122.7414633,9,0,930.9
0,1.0,4,2,0,2,3,0,0,0,43.3836786,-124.2324594,5,0,866.9
0,1.0,1,2,1,1,2,1,3,2,45.43149725,-122.5598191,5,0,849.4
0,1.0,0,0,0,0,3,2,0,0,44.0808079,-123.0273834,5,0,1094.6
0,1.0,0,0,0,0,3,2,0,0,44.98572055,-123.9948942,7,0,782.3
1,1.0,0,0,0,0,0,0,2,0,45.98863695,-123.911885,5,0,1312.0
1,1.0,0,0,0,2,3,0,0,0,43.11239155,-124.4022506,9,2,635.9
1,1.0,4,2,0,2,3,2,2,2,44.4171771,-118.9598518,9,2,519.6
1,1.0,4,2,0,2,0,2,2,2,45.4323642,-117.2845641,9,2,575.8
1,1.0,3,0,0,2,0,2,2,0,43.5882207,-119.0608886,7,2,348.9
1,1.0,3,2,0,2,3,2,3,0,44.91881385,-123.3101733,2,2,740.9
1,1.0,4,0,0,2,3,2,2,2,42.1812184,-120.3520924,2,2,721.2
1,1.0,3,0,0,2,0,2,3,2,38.0444526,-103.719672,9,2,339.3
1,1.0,3,2,0,2,0,2,2,0,44.29791595,-120.8253462,9,2,849.7
1,1.0,3,2,0,2,2,0,0,2,43.972682,-124.1178528,9,2,611.4
1,1.0,4,2,0,2,2,0,0,0,45.4567681,-123.8537917,2,2,526.6
1,1.0,0,0,0,0,0,1,2,2,45.70512315,-121.524199,9,2,611.1
1,1.0,3,2,0,2,3,2,3,0,35.47775105,-97.51995981,9,2,545.4
1,1.0,3,2,0,2,2,2,2,2,46.18793165,-123.8193555,7,2,765.8
1,1.0,3,2,0,2,2,0,0,0,45.3189135,-118.1057838,2,2,607.0
1,1.0,3,2,0,2,2,2,3,2,42.4112944,-124.419084,9,2,829.5
1,1.0,3,2,0,2,0,2,2,0,44.55042415,-122.906542,9,2,588.4
1,1.0,4,2,0,2,3,2,0,1,45.84783555,-119.3083124,8,2,636.2
1,1.0,2,2,0,1,1,0,3,0,41.4003994,-75.64666707,9,2,305.9
1,1.0,0,0,0,2,0,0,3,0,40.3505985,-79.8493925,9,2,449.4
1,1.0,4,2,0,2,3,2,3,0,41.00926425,-76.4525791,9,2,826.7
1,1.0,2,2,0,2,0,2,2,0,19.12846625,72.86625779,2,2,873.8
1,1.0,3,2,0,2,2,2,2,2,40.9680683,-76.60464578,9,2,436.4
1,1.0,4,2,0,2,3,2,3,1,40.86978915,-80.27557066,9,2,446.5
1,1.0,3,2,0,2,3,2,3,2,44.5003345,-88.01314649,2,2,614.9
1,1.0,3,2,0,2,2,2,3,2,40.2507983,-75.27120172,2,2,736.8
1,1.0,4,2,0,2,3,2,3,1,40.97995415,-76.88677125,2,2,471.4
1,1.0,4,2,0,3,2,2,2,2,40.0131292,-80.3622877,2,2,730.7
1,1.0,3,2,0,2,2,0,0,0,40.80286205,-75.61507484,5,2,509.7
1,1.0,4,2,0,2,3,2,2,0,13.0788382,80.2469368,9,2,436.4
1,1.0,3,2,2,2,0,2,3,0,40.07950105,-75.2121334,9,0,553.3
1,1.0,4,2,2,3,3,2,3,2,40.0053079,-75.15082352,7,0,666.9
1,1.0,2,3,2,2,2,2,3,0,40.43637915,-79.98549286,9,0,418.7
1,1.0,4,2,3,3,3,2,2,2,40.61863735,-79.73667694,9,0,933.4
1,1.0,5,1,2,3,3,3,3,2,40.712052,-80.3219701,7,0,1127.0
1,1.0,3,2,1,3,3,2,3,2,40.5425475,-80.17806121,2,0,918.7
1,1.0,3,3,2,3,2,2,3,2,40.0062571,-79.07777227,2,0,534.4
1,1.0,4,1,3,2,1,2,3,3,39.90103835,-79.73904417,8,0,614.0
1,1.0,3,2,2,2,2,2,3,0,38.9299501,-77.0147802,7,0,533.7
1,1.0,4,2,3,2,3,2,2,2,40.33064195,-75.95017114,9,0,724.0
1,1.0,4,2,2,3,3,1,3,2,41.24740935,-77.01517496,9,0,563.2
1,1.0,2,2,2,1,1,2,3,1,53.9695741,-1.0818531,9,0,254.1
1,1.0,4,2,3,2,2,2,1,3,40.6177169,-77.56818088,3,0,1127.0
1,1.0,3,3,1,3,2,2,3,2,40.64911195,-75.28795137,9,0,378.0
1,1.0,4,2,2,3,2,2,3,3,40.45697185,-80.00330688,9,0,421.6
1,1.0,4,2,2,2,3,3,3,0,41.0334764,-78.44963428,7,0,733.3
1,1.0,4,2,3,2,3,2,3,2,40.4939717,-78.01130758,7,0,724.0
1,1.0,3,3,2,3,3,2,2,2,40.18330965,-77.222807,9,0,933.4
1,1.0,3,2,1,3,2,2,2,3,40.8082764,-96.62682808,9,0,933.4
1,1.0,3,2,1,3,1,2,3,1,40.3388594,-78.38845939,5,0,609.6
1,1.0,3,0,2,0,2,2,2,2,42.1337769,-80.0872646,2,0,933.4
1,1.0,3,2,2,1,2,2,3,0,45.01297385,-99.9461266,9,0,706.8
1,1.0,2,3,1,1,2,2,3,2,39.1387945,-84.52285673,9,0,421.6
1,1.0,3,2,2,2,3,2,3,2,40.131632,-76.31269479,9,0,733.3
1,1.0,4,2,2,3,3,2,3,1,40.1049723,-74.86719274,9,0,412.1
1,1.0,4,2,2,2,3,2,3,1,41.1314023,-77.46965424,8,0,466.4
1,1.0,3,2,3,2,1,2,2,2,41.0710254,-76.23030188,9,0,564.5
1,1.0,3,2,0,2,3,2,3,2,40.52251265,-78.39823696,9,0,645.5
1,1.0,3,3,2,3,1,2,3,2,40.00976055,-75.78666024,9,0,564.5
1,1.0,0,0,0,0,0,0,3,0,41.98058885,-76.52080751,7,2,250.1
1,1.0,5,0,0,2,3,0,2,0,40.0706632,-75.08769053,2,2,342.4
1,1.0,4,2,0,2,3,2,2,2,39.95501645,-75.28270232,2,2,321.7
1,1.0,0,0,0,2,0,0,3,0,40.86188655,-76.77780788,8,2,419.5
1,1.0,0,0,0,0,0,2,3,0,41.11472395,-78.77511381,9,2,394.5
1,1.0,0,0,0,0,0,0,0,0,40.4610027,-79.94612377,2,2,315.4
1,1.0,0,2,0,2,0,0,0,0,41.3614695,-79.70056267,9,2,840.3
1,1.0,3,2,0,2,0,2,0,2,41.19211365,-79.39763417,8,2,553.6
1,1.0,0,0,0,2,0,0,0,0,47.2454805,-122.4480476,2,2,377.7
1,1.0,0,0,0,0,0,2,3,0,40.047535,-76.30429175,2,2,381.2
1,1.0,0,0,0,0,0,2,0,0,43.0444216,-91.13740101,2,2,372.7
1,1.0,0,0,0,0,0,0,0,0,40.48889775,-79.89605534,2,2,293.3
1,1.0,0,0,0,0,0,2,3,0,41.67171555,-78.81777139,9,2,341.8
1,1.0,0,0,0,2,0,0,0,0,40.68373685,-80.09712305,2,2,260.5
1,1.0,0,0,0,0,0,0,0,0,40.3058405,-78.91824395,8,2,327.5
1,1.0,0,0,0,2,0,0,0,0,39.94994805,-75.19410142,9,2,346.9
1,1.0,0,0,0,2,0,0,0,0,40.24314885,-78.83677175,8,2,513.3
1,1.0,0,2,0,2,0,0,0,0,41.6371081,-80.15632321,2,2,519.0
1,1.0,0,0,0,0,0,2,0,0,40.106672,-75.02817333,9,2,337.0
1,1.0,0,0,0,2,0,0,0,0,40.14041555,-75.31606893,9,2,241.4
1,1.0,0,0,0,0,0,2,3,0,40.0256636,-78.43361542,8,2,554.2
1,1.0,0,2,0,2,0,0,0,0,41.96014825,-78.65889358,8,2,618.3
1,1.0,0,0,0,0,0,0,2,0,41.41012795,-75.65037196,5,2,374.0
1,1.0,0,0,0,2,0,0,0,0,40.2424753,-75.61266896,2,2,268.9
1,1.0,0,0,0,2,0,0,0,0,41.57606495,-75.26034741,2,2,446.3
1,1.0,0,0,0,2,0,0,0,0,40.12341495,-75.51500665,2,2,456.2
1,1.0,0,0,0,0,0,0,0,0,40.65813745,-78.70525911,8,2,450.8
1,1.0,0,0,0,0,0,2,2,0,40.5649685,-75.52189507,2,2,523.4
1,1.0,0,0,0,0,0,0,0,0,41.2582701,-75.86665186,2,2,417.0
1,1.0,3,2,0,2,0,2,0,0,39.7510064,-77.56983347,7,2,400.0
1,1.0,0,0,0,2,0,0,0,0,41.84297855,-79.1550316,8,2,392.1
1,1.0,0,0,0,0,0,2,2,0,40.1813883,-79.91138002,9,2,350.1
1,1.0,0,0,0,2,0,0,0,0,39.9008559,-80.17360509,2,2,243.8
1,1.0,3,2,0,2,0,2,0,0,39.93435355,-77.64620333,7,2,475.9
1,1.0,0,0,0,0,0,0,0,0,39.92736675,-75.2682814,1,2,210.4
1,1.0,4,2,0,2,3,2,2,0,40.6872072,-75.2425379,5,2,408.0
1,1.0,0,0,0,0,2,2,2,0,40.8666432,-79.88099038,9,2,503.3
1,1.0,4,2,0,2,3,2,2,0,40.60726355,-79.15631204,8,2,464.3
1,1.0,0,0,0,0,0,2,2,0,39.9493479,-75.15801475,8,2,290.0
1,1.0,0,2,0,2,0,0,0,0,41.21107475,-80.46939456,9,2,391.5
1,1.0,4,2,0,2,0,0,0,2,39.9716594,-75.60231751,9,2,139.7
1,1.0,4,2,0,2,3,2,3,0,39.85541155,-75.36825021,7,2,421.5
1,1.0,3,2,0,2,0,0,0,2,40.0204714,-79.58844369,2,2,455.5
1,1.0,3,0,0,2,0,2,2,0,40.94959035,-75.96410036,9,2,346.2
1,1.0,3,2,0,2,0,2,3,2,41.5779138,-75.96912625,9,2,629.0
1,1.0,0,2,0,2,0,0,0,0,53.6229813,-8.184095804,2,2,483.0
1,1.0,3,2,0,2,3,0,0,2,42.07365085,-80.09198946,9,2,210.8
1,1.0,4,2,0,2,3,2,2,0,44.90458185,-71.48102604,8,2,525.9
1,1.0,3,2,0,2,2,0,0,0,34.43040755,-119.7231156,2,2,338.1
1,1.0,3,2,0,3,2,0,0,0,44.3177264,-71.82570976,9,2,291.2
1,1.0,4,2,0,2,3,0,0,0,44.48576325,-71.55445147,2,2,547.1
1,1.0,4,2,0,2,3,0,0,2,43.4210159,-72.00008045,2,2,553.1
1,1.0,4,0,0,2,3,2,3,2,43.64155715,-72.2647188,2,2,559.5
1,1.0,3,2,0,2,0,2,2,0,43.44825065,-71.64486571,9,2,510.0
1,1.0,4,2,0,2,3,2,3,1,35.9700683,-88.9311756,8,2,436.2
1,1.0,4,2,0,2,3,0,0,0,45.08300135,-64.5002277,5,2,477.1
1,1.0,3,2,0,2,2,0,0,0,42.8933583,-71.93981593,8,2,490.4
1,1.0,3,2,0,2,0,2,0,2,44.487014,-71.1555225,9,2,143.9
1,1.0,4,2,0,2,3,2,3,0,43.757896,-71.69529054,2,2,407.4
1,1.0,3,2,0,2,2,0,2,1,43.5815439,-71.20098582,2,2,527.2
1,1.0,0,2,0,2,0,0,0,0,40.8837051,-74.05594088,2,2,262.9
1,1.0,3,2,0,2,2,2,2,0,40.71027275,-74.21258457,8,2,427.8
1,1.0,3,2,0,2,0,2,2,0,40.79397715,-73.99587571,2,2,796.4
1,1.0,3,2,0,2,2,2,0,1,40.53132745,-74.86135318,2,2,315.1
1,1.0,4,2,0,2,2,0,0,0,43.4388771,-80.50136669,9,2,430.5
1,1.0,0,0,0,0,0,0,0,0,40.8828876,-74.01019515,9,2,243.3
1,1.0,4,2,0,3,3,0,0,1,40.7857547,-74.17671915,2,2,551.3
1,1.0,0,2,0,2,0,0,0,0,40.339764,-74.6238206,2,2,365.3
1,1.0,3,2,1,3,2,2,3,1,33.4827625,-112.005702,9,0,606.1
1,1.0,4,2,0,2,3,2,2,0,39.94122495,-75.11638647,8,0,589.7
1,1.0,3,2,1,2,2,2,3,2,40.789571,-74.46568458,9,0,692.0
1,1.0,3,2,1,3,3,2,3,1,40.7362084,-74.04846655,8,0,943.1
1,1.0,4,2,2,2,3,2,3,2,40.9581982,-74.30993914,2,0,471.9
1,1.0,3,3,1,2,3,2,3,2,40.90360815,-74.16572619,7,0,792.2
1,1.0,3,3,2,2,3,2,3,2,33.92988945,-118.2033722,9,0,542.4
1,1.0,2,3,2,3,1,2,2,2,39.7812799,-74.92047324,5,0,628.3
1,1.0,3,2,2,2,2,2,3,2,40.6131367,-74.29090625,9,0,988.4
1,1.0,0,0,0,0,0,1,3,0,40.65916705,-74.19760871,2,0,390.8
1,1.0,3,1,3,1,3,2,1,2,38.0245132,-97.33491093,1,0,481.1
1,1.0,3,2,2,1,3,2,3,3,39.9269412,-75.09687826,9,0,878.6
1,1.0,3,2,0,2,3,2,3,2,39.9777214,-74.58432832,7,0,523.5
1,1.0,3,2,2,2,2,2,2,2,39.44441055,-75.05858277,2,0,613.5
1,1.0,3,2,2,2,3,2,2,2,40.3536788,-74.06318759,2,0,760.4
1,1.0,3,0,0,2,0,2,3,0,40.4953068,-74.44961155,7,0,456.3
1,1.0,4,2,2,3,3,2,3,2,46.8469869,-114.0478243,9,0,484.0
1,1.0,4,2,0,2,3,2,3,2,39.31545615,-74.59090105,1,0,418.4
1,1.0,0,0,0,0,0,2,3,0,40.56807355,-74.59495675,2,0,697.8
1,1.0,3,2,3,3,1,1,2,1,40.71255325,-74.35350045,7,0,938.6
1,1.0,4,2,3,3,2,3,3,2,25.21546345,51.44907494,5,0,938.6
1,1.0,3,3,3,1,3,2,3,3,39.9858107,-74.79464828,2,0,1075.1
1,1.0,4,2,3,1,1,2,2,2,40.0461623,-74.87995565,7,0,481.1
1,1.0,3,2,0,2,0,2,3,0,39.5875181,-75.18069234,2,0,289.9
1,1.0,3,2,2,3,1,2,3,0,40.5006491,-74.45986664,5,0,726.1
1,1.0,4,2,2,2,2,2,3,2,40.20887045,-74.040758,5,0,1009.4
1,1.0,3,2,2,2,2,2,3,2,40.7152568,-74.05082388,8,0,1009.4
0,1.0,0,0,0,0,3,0,0,0,40.29526945,-73.98561247,5,0,938.6
1,1.0,4,2,3,3,3,2,3,2,40.76346035,-74.3048418,8,0,1009.4
0,1.0,5,1,3,3,3,2,0,0,39.8436821,-75.15039594,5,0,938.6
0,1.0,0,0,0,0,3,2,0,0,40.75421325,-74.2134091,4,0,692.0
0,1.0,0,0,0,0,3,0,0,0,40.07321275,-74.21940498,4,0,863.5
1,1.0,3,2,2,3,2,2,3,1,39.5932198,-75.44421208,5,0,541.6
0,1.0,0,0,0,0,3,0,0,0,40.74406955,-74.17413686,4,0,938.6
0,1.0,0,0,0,0,3,2,0,0,40.21708025,-74.67065083,4,0,628.3
0,1.0,0,0,0,0,0,1,0,0,40.23751755,-74.31248282,5,0,651.6
1,1.0,3,2,1,2,3,2,3,1,40.4065996,-74.19177794,7,0,938.6
0,1.0,0,0,0,0,3,0,0,0,40.8618862,-74.8156281,2,0,231.8
1,1.0,0,0,0,0,0,0,0,0,40.79201415,-74.0722784,1,2,249.8
1,1.0,0,0,0,2,0,0,0,0,29.5078264,-98.57809432,1,2,650.1
1,1.0,0,0,0,0,0,0,0,0,40.6696957,-74.35445473,8,2,313.0
1,1.0,0,0,0,0,0,0,0,0,35.0936574,-106.626969,2,2,450.7
1,1.0,0,0,0,2,0,0,0,0,35.659295,-105.9461641,8,2,449.7
1,1.0,0,0,0,0,0,0,0,0,32.92383505,-105.9344478,2,2,326.3
1,1.0,0,0,0,0,0,0,0,0,33.4246877,-104.5284828,1,2,609.7
1,1.0,0,0,0,0,0,0,0,0,35.0862742,-106.639815,2,2,104.4
0,1.0,0,0,0,2,0,0,0,0,35.99754415,-106.0872466,2,2,843.3
